"MEDIA_ID","MEDIA_NAME","CNT","TIME","TIME_TICK","FPOGX","FPOGY","FPOGS","FPOGD","FPOGID","FPOGV","BPOGX","BPOGY","BPOGV","CX","CY","CS","KB","KBS","USER","LPCX","LPCY","LPD","LPS","LPV","RPCX","RPCY","RPD","RPS","RPV","BKID","BKDUR","BKPMIN","LPMM","LPMMV","RPMM","RPMMV","DIAL","DIALV","GSR","GSR_US","GSR_US_TONIC","GSR_US_PHASIC","GSRV","HR","HRV","HRP","IBI","TTL0","TTL1","TTL2","TTL3","TTL4","TTL5","TTL6","TTLV","PIXS","PIXV","AOI","SACCADE_MAG","SACCADE_DIR","VID_FRAME","participant_id","task_order","interface_complexity","feedback_clarity","synthetic_scenario"
1,"kiosk_simple_clear_task",0,0,1.021e+09,0.27435,0.18182,0,0.01667,1,1,0.28698,0.17176,1,0.26307,0.17376,4,,0,"synthetic_kiosk_p021",0.32563,0.48582,24.54843,1.31423,1,0.74843,0.48197,26.67731,1.32053,1,0,0,10,3.35536,1,3.34041,1,0.31671,1,769587.93242,1.2994,1.29715,0.0021,1,77.70182,1,1516.47661,0.77218,1001,0,0,0,1,21,1,1,0,0,"instruction_panel",0,0,0,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
1,"kiosk_simple_clear_task",1,0.01667,1021166666.66667,0.48615,0.45872,0.01667,0.01667,2,1,0.50796,0.44331,1,0.50145,0.4679,0,,0,"synthetic_kiosk_p021",0.33034,0.4876,24.91359,1.32714,1,0.75051,0.47947,26.6942,1.31727,1,0,0,10,3.38653,1,3.33211,1,0.32681,1,770970.67135,1.29707,1.29716,-0.00024,1,76.62189,1,1514.57762,0.78307,1001,0,0,0,1,21,1,1,0,0,"task_form",0.34862,0.91783,0,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
1,"kiosk_simple_clear_task",2,0.03333,1021333333.33333,0.24063,0.20907,0.03333,0.05,3,1,0.24235,0.21956,1,0.25874,0.2052,0,,0,"synthetic_kiosk_p021",0.33137,0.48589,24.68849,1.26682,1,0.7507,0.48516,26.56574,1.28015,1,0,0,10,3.41556,1,3.36122,1,0.36591,1,778468.72519,1.28457,1.29717,0.00199,1,76.48395,1,1546.3759,0.78448,1001,0,0,0,1,21,1,1,0,0,"instruction_panel",0.35015,-2.34787,1,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
1,"kiosk_simple_clear_task",3,0.05,1021500000,0.25293,0.166,0.03333,0.05,3,1,0.27367,0.16963,1,0.25536,0.17426,4,,0,"synthetic_kiosk_p021",0.33463,0.4928,24.76665,1.3056,1,0.74906,0.48696,26.72682,1.31881,1,0,0,10,3.37186,1,3.37412,1,0.36031,1,774066.38908,1.29188,1.29718,-0.00507,1,76.98085,1,1509.37438,0.77941,1001,0,0,0,1,21,1,1,0,0,"instruction_panel",0.0448,-1.29252,1,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
1,"kiosk_simple_clear_task",4,0.06667,1021666666.66667,0.2559,0.22284,0.03333,0.05,3,1,0.28476,0.22787,1,0.25675,0.21059,0,,0,"synthetic_kiosk_p021",0.32842,0.48815,24.46342,1.32556,1,0.74821,0.47931,26.81149,1.33986,1,0,0,10,3.33081,1,3.36641,1,0.32572,1,775200.65965,1.28999,1.2972,-0.00126,1,76.77754,1,1469.6406,0.78148,1001,0,0,0,1,21,1,1,0,0,"instruction_panel",0.05692,1.51862,2,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
1,"kiosk_simple_clear_task",5,0.08333,1021833333.33333,0.51404,0.4855,0.08333,0.01667,4,1,0.52077,0.46647,1,0.52266,0.47566,4,,0,"synthetic_kiosk_p021",0.33168,0.49541,24.67442,1.28811,1,0.74404,0.48355,26.77584,1.29344,1,0,0,10,3.35495,1,3.3776,1,0.31112,1,777451.25003,1.28625,1.29721,-0.00437,1,76.43496,1,1563.66278,0.78498,1001,0,0,0,1,21,1,1,0,0,"task_form",0.36827,0.79407,2,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
1,"kiosk_simple_clear_task",6,0.1,1.022e+09,0.2465,0.15482,0.1,0.06667,5,1,0.26295,0.12744,1,0.23297,0.15119,3,,0,"synthetic_kiosk_p021",0.33111,0.48822,24.75827,1.32795,1,0.75034,0.47517,26.72828,1.33963,1,0,0,10,3.33492,1,3.38309,1,0.36388,1,771243.43816,1.29661,1.29722,0.0061,1,76.08097,1,1726.9183,0.78863,1001,0,0,0,1,21,1,1,0,0,"instruction_panel",0.42536,-2.25103,3,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
1,"kiosk_simple_clear_task",7,0.11667,1022166666.66667,0.27057,0.18436,0.1,0.06667,5,1,0.2828,0.19676,1,0.28412,0.16309,2,,0,"synthetic_kiosk_p021",0.32995,0.48991,25.08186,1.30233,1,0.74544,0.48796,26.85346,1.34301,1,0,0,10,3.46167,1,3.34515,1,0.3744,1,767592.88311,1.30277,1.29723,0.0019,1,76.18981,1,1885.97196,0.78751,1001,0,0,0,1,21,1,1,0,0,"instruction_panel",0.03811,0.88709,3,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
1,"kiosk_simple_clear_task",8,0.13333,1022333333.33333,0.2166,0.18578,0.1,0.06667,5,1,0.21986,0.20451,1,0.21775,0.17975,4,,0,"synthetic_kiosk_p021",0.33123,0.49565,24.97792,1.28118,1,0.75275,0.483,26.78995,1.33136,1,0,0,10,3.36071,1,3.41611,1,0.37192,1,774079.65717,1.29186,1.29724,0.00314,1,77.21299,1,2119.58743,0.77707,1001,0,0,0,1,21,1,1,0,0,"instruction_panel",0.054,3.11523,4,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
1,"kiosk_simple_clear_task",9,0.15,1022500000,0.24062,0.13271,0.1,0.06667,5,1,0.23214,0.16616,1,0.24121,0.15438,1,,0,"synthetic_kiosk_p021",0.33082,0.4933,24.84103,1.28591,1,0.74624,0.48367,26.84179,1.31841,1,0,0,10,3.41804,1,3.34858,1,0.3226,1,769306.41432,1.29987,1.29725,0.00323,1,76.44185,1,2468.85275,0.78491,1001,0,0,0,1,21,1,1,0,0,"instruction_panel",0.05826,-1.14571,4,"synthetic_kiosk_p021",1,"simple","clear","public_service_kiosk_usability"
